LibraryName,CIPFACategoryName,Category,IssueDate
Callpoint - Bath & NES,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Callpoint - Bath & NES,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
Callpoint - Bath & NES,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Keynsham Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
