Position,ISBN,Title,Contributor,Publisher,Year 
85,9780099554783,Phantom ,Jo Nesbo ,Vintage ,2013
86,9780857520111,The long war ,"Terry Pratchett, Stephen Baxter ",Doubleday ,2013
87,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
88,9780330517980,Only time will tell ,Jeffrey Archer ,Pan Books ,2011
89,9780007230181,Wolf Hall ,Hilary Mantel ,Fourth Estate ,2009
90,9780340893296,Oliver who would not sleep ,"Mara Bergman, Nick Maland ",Hodder Children's ,2008
91,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
92,9780140504200,Where's Spot? ,Eric Hill ,Puffin ,1983
93,9781854308641,Under the bed ,"Paul Bright, illustrations by Ben Cort ",Little Tiger ,2003
94,9781408703946,The quarry ,Iain Banks ,Little Brown and Company,2013
95,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
96,9781843622727,"Come on, Daisy ",Jane Simmons ,Orchard ,2004
97,9780330517935,The sins of the father ,Jeffrey Archer ,Pan ,2012
98,9780593065709,The affair ,Lee Child ,Bantam ,2011
99,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
100,9781846056543,A French affair ,Katie Fforde ,Century ,2013
