Authority,Domain,Grade,HTTPS,Issues
Walsall,libcat.walsall.gov.uk,A,Yes,OK
Waltham Forest,arena.yourlondonlibrary.net,A,Yes,OK
Wandsworth,capitadiscovery.co.uk,A,Yes,Allows HTTP
Warrington,warc.ent.sirsidynix.net.uk,A+,No,Only HTTP
Warwickshire,library.warwickshire.gov.uk,C,Yes,Allows HTTP
West Berkshire,westberks.spydus.co.uk,F,Yes,Mixed Content
West Dunbartonshire,wd.ent.sirsidynix.net.uk,A+,No,Only HTTP
West Lothian,webpac.westlothian.gov.uk,U,No,Only HTTP
West Sussex,arena.westsussex.gov.uk,C,Yes,OK
Western Isles,vufind-wi.sedar.org.uk,C,Yes,Allows HTTP
Westminster,elibrary.westminster.gov.uk,A+,Yes,Mixed Content
Wigan,capitadiscovery.co.uk,A,Yes,Allows HTTP
Wiltshire,libraries.wiltshire.gov.uk,A,Yes,OK
Windsor & Maidenhead,rbwm.spydus.co.uk,F,Yes,Allows HTTP
Wirral,capitadiscovery.co.uk,A,Yes,Allows HTTP
Wokingham,wokingham.spydus.co.uk,F,Yes,Allows HTTP
Wolverhampton,capitadiscovery.co.uk,A,Yes,Allows HTTP
Worcestershire,capitadiscovery.co.uk,A,Yes,Allows HTTP
Wrexham,www.wrexham.gov.uk,A,Yes,Allows HTTP
York City,cyc.sdp.sirsidynix.net.uk,A+,Yes,OK
